sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,ma_ngoai_ngu
1000821,7.4,4.5,8.0,6.75,7.75,7.75,N1
1000822,7.2,8.5,7.2,7.0,7.5,6.25,N1
1000828,7.6,7.25,6.0,5.5,7.5,6.25,N1
1000832,8.0,7.125,6.7,7.25,6.75,5.75,N1
1000837,8.0,7.0,7.4,7.0,7.5,7.25,N1
1000838,9.0,8.5,9.2,8.5,6.25,6.75,N1
1000841,7.6,7.25,7.6,4.25,7.25,5.0,N1
1000992,5.0,6.916666666666667,8.6,4.5,4.75,5.5,N1
1001000,7.6,6.583333333333333,8.6,5.5,2.5,7.5,N1
1001024,7.2,6.25,7.6,6.25,3.25,5.0,N1
1001076,5.8,7.125,6.6,2.25,7.25,4.5,N1
1001120,8.4,8.0,9.0,4.75,8.25,6.5,N1
1001122,5.8,7.0,4.0,4.75,3.0,6.5,N1
1001123,7.2,8.5,9.4,7.5,6.5,8.5,N1
1001125,7.8,7.25,8.2,8.25,7.0,7.0,N1
1001126,7.8,7.25,5.2,6.75,5.25,6.25,N1
1001128,8.4,7.75,9.0,3.75,8.75,6.25,N1
1001129,8.8,8.5,8.0,2.75,7.5,8.25,N1
1001130,8.4,8.25,6.4,7.5,7.5,7.25,N1
1001131,6.6,9.0,8.2,4.75,5.5,5.75,N1
1001151,7.0,9.0,8.6,7.25,5.75,6.5,N1
1001152,7.8,7.5,7.0,6.25,3.25,4.0,N1
1001153,8.2,7.5,9.0,8.0,6.25,6.5,N1
1001154,8.2,8.0,8.2,6.25,5.5,5.5,N1
1001155,8.8,7.75,8.4,8.5,5.75,6.25,N1
1001156,8.8,6.5,9.4,8.75,6.75,7.25,N1
1001157,9.2,7.5,9.4,8.5,6.75,6.75,N1
1001158,8.2,5.0,5.8,7.0,7.0,4.25,N1
1001160,8.6,8.0,7.8,7.75,4.25,5.75,N1
1001161,8.4,8.0,8.2,8.25,3.75,3.5,N1
1001162,8.2,7.25,6.6,4.25,7.25,5.25,N1
1001163,8.6,7.0,7.2,7.25,7.75,6.75,N1
1001164,8.8,6.5,9.6,8.25,4.25,6.75,N1
1001165,8.6,5.5,9.0,8.0,2.75,2.0,N1
1001166,7.6,7.0,8.4,8.0,4.0,5.75,N1
1001167,8.0,6.75,9.0,7.25,6.75,5.5,N1
1001168,6.4,5.5,9.6,4.5,4.5,6.25,N1
1001169,7.8,7.0,8.6,7.5,6.25,5.75,N1
1001170,7.6,8.0,8.6,7.25,6.25,5.5,N1
1001171,7.6,8.75,7.6,4.0,7.0,5.5,N1
1001172,8.6,7.25,9.4,6.5,8.25,8.25,N1
1001174,7.8,8.0,7.0,8.5,2.75,5.0,N1
1001175,8.4,8.0,9.2,8.75,9.5,6.5,N1
1001176,8.4,7.5,8.6,5.75,7.0,7.75,N1
1001177,8.6,8.0,8.8,6.0,8.0,6.25,N1
1001178,9.4,7.5,8.6,6.25,5.75,6.5,N1
1001179,8.0,7.25,7.6,8.75,7.75,5.25,N1
1001180,8.4,8.0,8.4,7.25,4.75,4.75,N1
1001181,8.0,7.75,9.4,8.0,7.5,8.0,N1
1001182,8.8,8.0,8.2,9.0,9.0,7.75,N1
1001183,8.6,8.5,9.2,8.75,7.25,6.25,N1
1001184,8.4,8.5,8.4,5.5,7.5,8.5,N1
1001185,7.4,7.25,8.8,7.0,8.0,6.75,N1
1001186,8.2,8.0,8.6,7.25,7.5,4.75,N1
1001187,7.8,8.5,9.0,7.75,3.5,3.25,N1
1001188,6.0,8.25,7.0,5.25,5.5,6.0,N1
1001189,8.4,8.0,9.0,8.75,7.75,7.75,N1
1001190,8.0,8.75,8.6,5.0,8.0,7.0,N1
1001191,7.0,6.75,7.4,1.5,8.0,2.25,N1
1001192,6.4,8.5,7.0,7.5,7.75,8.0,N1
1001199,8.4,8.25,8.0,5.75,8.25,8.5,N1
1001203,7.2,7.0,6.4,6.5,5.5,6.0,N1
1001208,8.2,7.25,8.6,7.5,8.75,6.75,N1
1001220,7.6,8.25,8.0,5.75,5.75,5.25,N1
1001223,8.6,5.0,9.2,6.25,7.0,6.25,N1
1001225,6.6,8.25,7.8999999999999995,3.0,5.0,3.75,N1
1001227,5.2,6.75,6.6,4.75,4.25,5.25,N1
1001228,7.8,5.0,8.4,7.0,5.25,6.25,N1
1001230,8.0,8.75,9.8,7.0,6.0,8.75,N1
1001237,8.0,7.75,8.8,7.75,8.75,7.0,N1
1001238,8.6,6.75,7.0,3.5,8.0,3.25,N1
1001239,8.6,8.0,9.0,7.75,6.75,7.25,N1
1001249,9.0,7.75,9.4,4.0,8.5,4.5,N1
1001251,9.0,8.75,9.4,9.0,6.25,6.75,N1
1001255,8.2,6.75,8.2,5.5,8.25,6.25,N1
1001261,7.8,9.25,6.6,6.75,6.0,7.25,N1
1001265,7.0,7.75,6.4,5.5,7.25,6.5,N1
1001268,7.4,6.5,9.0,3.25,7.0,5.75,N1
1001272,7.6,7.75,7.6,6.25,5.75,5.5,N1
1001273,8.6,7.0,8.6,9.25,7.5,5.5,N1
1001276,8.4,7.0,8.6,8.0,4.75,5.25,N1
1001277,7.6,7.5,5.8,7.0,7.5,5.25,N1
1001278,6.8,7.25,7.4,6.75,4.25,5.25,N1
1001279,8.0,7.5,8.6,7.75,8.25,7.25,N1
1001282,7.4,5.75,7.6,7.25,5.0,6.25,N1
1001284,5.6,5.5,7.6,6.0,3.5,4.0,N1
1001288,8.2,9.25,9.2,6.25,6.0,7.0,N1
1001289,8.0,7.0,8.6,7.5,7.25,7.25,N1
1001291,7.6,7.0,7.2,4.75,4.5,5.25,N1
1001292,8.6,7.0,6.4,4.5,8.0,7.5,N1
1001295,8.0,8.25,8.6,6.75,8.0,7.0,N1
1001296,8.0,7.5,5.6,7.5,7.75,7.0,N1
1001298,7.8,6.5,8.8,4.0,8.5,5.5,N1
1001299,8.6,7.75,8.600000000000001,4.75,9.25,9.0,N1
1001301,7.2,4.5,8.4,5.25,4.5,5.5,N1
1001302,7.6,8.0,9.4,8.0,7.25,4.25,N1
1001303,8.6,7.0,5.2,4.0,8.0,8.75,N1
1001306,7.2,7.75,7.8,8.5,8.75,6.5,N1
1001314,8.6,6.5,7.2,8.5,7.0,7.75,N1
1001316,6.8,5.75,8.6,7.75,4.5,7.0,N1
1001318,7.6,7.75,3.6,6.25,5.25,7.5,N1
1001319,7.8,7.0,7.0,8.0,4.5,6.25,N1
1001321,8.0,8.0,8.4,8.0,4.0,6.0,N1
1001322,8.0,5.75,7.4,7.75,5.5,5.75,N1
1001329,8.8,6.25,6.2,5.25,8.25,8.0,N1
1001333,8.0,7.5,9.2,8.25,6.75,7.0,N1
1001334,8.0,7.5,8.4,7.5,6.5,5.25,N1
1001337,8.2,5.5,9.4,9.25,5.5,6.0,N1
1001338,7.4,6.5,8.6,6.0,7.25,6.75,N1
1001339,7.2,8.75,8.0,5.25,7.0,5.5,N1
1001340,7.8,8.5,8.2,6.5,7.25,5.5,N1
1001341,8.0,7.5,7.2,8.5,5.75,4.75,N1
1001344,7.8,7.75,6.2,7.5,6.75,6.25,N1
1001345,7.8,7.0,6.0,7.75,8.25,5.0,N1
1001355,8.6,9.25,9.2,8.5,6.0,7.5,N1
1001356,7.0,6.5,6.4,7.0,6.5,6.25,N1
1001357,8.6,7.0,7.8,7.5,4.0,5.5,N1
1001359,7.0,7.0,9.0,7.75,8.0,7.25,N1
1001361,8.2,7.5,7.8,7.5,6.25,4.75,N1
1001368,8.0,7.25,5.2,5.75,5.5,5.5,N1
1001369,9.4,8.5,9.0,8.25,5.5,6.0,N1
1001370,7.8,8.5,9.2,9.0,7.5,8.0,N1
1001371,8.0,8.0,9.2,3.75,7.5,6.25,N1
1001374,7.8,8.0,8.2,5.0,6.75,6.75,N1
1001375,7.4,6.5,8.6,6.25,5.25,3.25,N1
1001377,6.8,6.0,8.8,6.25,3.5,6.0,N1
1001488,7.8,7.0,8.8,3.75,8.25,7.5,N1
1001671,8.4,8.0,8.8,9.0,5.25,4.75,N1
1001682,7.8,7.25,9.6,7.25,3.25,4.75,N1
1001686,7.8,7.25,9.4,8.0,8.0,5.25,N1
1001687,9.4,8.25,8.4,6.75,8.75,6.0,N1
1001846,8.0,6.25,8.8,6.5,8.0,6.0,N1
1001847,8.2,7.5,9.2,7.5,5.25,5.25,N1
1001848,8.8,7.5,9.0,9.25,6.25,6.5,N1
1001849,6.8,7.5,7.8,6.25,5.75,5.5,N1
1001850,7.2,8.0,6.4,4.75,7.25,8.5,N1
1001851,8.6,7.25,8.2,9.25,9.25,4.75,N1
1001852,7.4,7.0,7.4,5.5,4.5,4.25,N1
1001853,8.2,8.5,8.6,8.75,3.5,3.75,N1
1001854,8.6,6.5,9.6,5.75,7.75,7.75,N1
1001855,8.2,7.75,8.2,6.0,3.75,5.5,N1
1001856,8.8,7.25,9.4,8.25,3.5,3.5,N1
1001857,7.4,7.5,8.2,7.25,3.5,4.75,N1
1001858,8.4,8.5,8.2,7.25,8.25,8.0,N1
1001859,8.8,7.75,9.4,8.25,9.0,7.75,N1
1001860,8.8,8.5,8.0,8.5,5.25,6.75,N1
1001861,8.2,8.75,8.8,8.25,5.0,5.5,N1
1001862,7.0,6.5,7.4,7.75,6.75,5.0,N1
1001863,8.6,8.75,9.2,9.25,5.5,7.25,N1
1001864,9.0,7.25,7.4,5.25,9.0,9.5,N1
1001865,8.6,7.0,8.8,8.0,3.25,4.0,N1
1001866,8.4,6.75,8.4,7.75,5.25,6.5,N1
1001867,8.6,7.0,8.8,8.0,4.75,4.5,N1
1001868,7.0,7.75,7.4,6.0,5.5,7.0,N1
1001869,7.8,9.25,8.4,4.0,7.0,7.25,N1
1001870,7.6,7.25,7.6,7.25,6.5,6.25,N1
1001871,8.6,7.5,7.8,8.5,7.0,5.75,N1
1001872,6.6,6.75,7.8,6.25,5.25,6.0,N1
1001873,7.2,7.5,8.2,6.25,4.0,5.0,N1
1001874,8.4,6.5,7.199999999999999,6.75,5.25,4.5,N1
1001875,8.6,7.25,6.2,5.0,8.5,9.0,N1
1001876,7.2,7.75,8.8,3.25,8.25,4.0,N1
1001877,8.4,8.0,7.0,7.5,8.5,8.25,N1
1001878,7.8,8.75,9.2,8.25,3.75,6.75,N1
1001879,8.0,7.5,8.0,7.5,8.0,6.0,N1
1001880,8.8,8.5,9.6,9.0,6.25,7.0,N1
1001881,8.2,8.5,8.0,8.0,9.0,6.75,N1
1001882,9.0,8.75,8.8,8.75,7.0,6.75,N1
1001883,8.0,8.75,9.0,4.25,7.25,6.5,N1
1001884,8.4,8.0,7.2,8.75,7.5,5.5,N1
1001885,8.2,6.75,8.2,7.0,7.25,5.75,N1
1001886,8.0,8.75,9.2,8.5,4.5,7.0,N1
1001887,7.0,8.5,9.8,7.25,6.5,8.0,N1
1001888,8.4,7.5,8.8,5.0,4.75,6.0,N1
1001889,7.8,6.25,6.6,8.25,3.75,5.5,N1
1001890,7.6,8.0,9.4,4.5,8.75,5.25,N1
1001891,7.4,8.0,8.0,4.5,7.0,5.0,N1
1001892,8.6,8.0,9.6,8.75,7.25,6.75,N1
1001893,7.6,7.0,8.2,7.0,4.75,3.75,N1
1001894,7.4,8.5,9.2,4.25,5.5,5.25,N1
1001895,8.2,7.0,9.4,7.75,6.75,7.0,N1
1001896,8.4,6.5,8.0,7.0,5.0,6.25,N1
1001897,7.6,7.75,9.0,8.0,8.25,5.5,N1
1001898,7.8,6.5,8.4,7.0,3.75,3.75,N1
1001899,8.8,8.0,8.2,7.0,7.75,6.75,N1
1001900,7.8,8.5,3.4,7.0,7.25,6.0,N1
1001901,7.6,8.5,8.8,6.5,3.5,6.0,N1
1001902,7.8,3.75,7.6,6.25,7.25,8.0,N1
1001903,8.4,6.5,7.4,7.75,3.25,3.5,N1
1001904,8.4,7.25,6.6,3.5,7.25,4.75,N1
1001905,8.0,7.25,8.4,6.25,7.25,5.5,N1
1001906,6.2,6.0,8.0,3.25,6.0,5.0,N1
1001907,8.8,8.75,9.0,8.25,7.75,8.0,N1
1001908,6.4,6.75,7.4,5.5,2.25,5.5,N1
1001909,8.4,8.5,9.2,8.25,8.0,6.5,N1
1001910,8.0,7.75,8.2,6.25,8.0,6.25,N1
1001911,7.8,6.75,8.4,7.25,6.25,5.5,N1
1001912,7.2,6.75,8.8,8.0,4.25,6.0,N1
1001913,8.0,6.75,8.2,7.75,7.5,5.5,N1
1001914,8.6,6.75,8.8,7.75,6.75,7.25,N1
1001915,8.0,7.5,6.2,7.5,6.5,6.5,N1
1001916,8.0,6.25,7.4,8.5,5.5,6.0,N1
1001917,8.0,6.5,9.0,7.25,3.5,4.75,N1
1001918,7.8,6.5,9.0,8.5,7.0,6.5,N1
1001919,7.6,6.25,3.4,7.25,4.75,5.25,N1
1001920,7.0,5.25,7.2,7.75,5.75,4.75,N1
1001921,7.0,6.75,7.6,4.75,8.0,4.5,N1
1001922,7.8,7.0,8.0,7.75,4.5,5.0,N1
1001923,7.6,8.0,8.4,8.0,5.75,6.0,N1
1001924,8.4,8.25,8.6,5.25,7.25,6.5,N1
1001925,7.8,8.0,9.4,6.75,8.25,7.75,N1
1001926,8.6,8.0,9.4,7.75,6.75,7.25,N1
1001927,8.0,8.5,7.4,8.25,7.25,4.25,N1
1001928,8.4,7.5,8.4,7.0,7.25,6.25,N1
1001929,8.6,8.0,9.0,8.25,6.25,6.0,N1
1001930,8.8,8.25,9.0,8.0,8.0,7.25,N1
1001931,8.8,8.5,8.8,8.5,7.0,6.0,N1
1001932,7.4,8.75,7.2,6.5,6.75,6.25,N1
1001933,7.8,7.0,8.6,4.5,7.0,6.0,N1
1001934,8.0,8.5,8.0,8.0,6.75,6.0,N1
1001942,8.4,7.75,8.4,8.25,8.75,5.25,N1
1001946,6.2,7.75,4.6,2.5,7.25,6.5,N1
1001948,8.4,8.75,8.4,6.5,8.0,7.0,N1
1001954,7.6,8.0,5.8,3.75,7.0,7.25,N1
1001963,7.6,7.0,5.8,7.5,7.25,5.0,N1
1001966,8.2,8.0,6.0,6.5,4.5,6.25,N1
